timestamp,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time,image_processing_time,absolute_time_from_start,utility
2025-10-20T13:33:46.863170,535,0.7396808564662933,yolov5s,52.6,2,0.6115269660949707,1.5709898471832275,183.50895023345947,-0.9022976959216094
2025-10-20T13:33:47.012650,536,0.6449034214019775,yolov5s,47.1,3,0.1183481216430664,1.3294000625610352,183.65842866897583,-0.5138960449206265
2025-10-20T13:33:47.189635,537,0.8619504123926163,yolov5s,49.8,4,0.13033318519592285,1.1493115425109863,183.8354136943817,0.06332762599343
2025-10-20T13:33:47.329300,538,0.6924134492874146,yolov5s,54.2,2,0.12371516227722168,0.9581358432769775,183.97506594657898,0.21567131413353813
2025-10-20T13:33:47.587635,539,0.5962441315253576,yolov5s,55.0,12,0.1962268352508545,0.8734617233276367,184.23339462280273,0.16654317412111497
2025-10-20T13:33:47.718224,540,0.7223905324935913,yolov5s,53.6,2,0.10651206970214844,0.6855299472808838,184.3640010356903,0.3970961173375448
2025-10-20T13:33:42.193038,524,0.6134660885884211,yolov5s,49.1,13,0.7479829788208008,0.8386275768280029,178.83882021903992,0.20311743479508615
2025-10-20T13:33:42.302530,525,0.6703384965658188,yolov5s,46.9,2,0.08638715744018555,0.5789306163787842,178.94827795028687,0.4042659319109387
2025-10-20T13:33:42.597975,526,0.5178688835530054,yolov5s,61.1,21,0.24477124214172363,0.5156059265136719,179.2437446117401,0.28697670215652105
2025-10-20T13:33:42.764420,527,0.8281263709068298,yolov5s,48.6,1,0.1408402919769287,0.2990267276763916,179.41019916534424,0.7175559666421678
2025-10-20T13:33:44.551389,531,0.9433292150497437,yolov5s,46.7,1,0.6439924240112305,0.6888809204101562,181.1971685886383,0.6161731481552124
2025-10-20T13:33:44.685723,532,0.5899765328927473,yolov5s,50.0,11,0.10467648506164551,0.44396114349365234,181.33150386810303,0.39888700872960714
2025-10-20T13:33:44.841309,533,0.6750868521630764,yolov5s,45.0,8,0.11541008949279785,0.2592611312866211,181.48708963394165,0.5866084458927313
2025-10-20T13:33:47.943255,541,0.7155797183513641,yolov5s,51.0,2,0.18222546577453613,0.5716345310211182,184.58901619911194,0.45356053445074296
2025-10-20T13:33:48.244694,542,0.8463168740272522,yolov5s,51.1,1,0.26362061500549316,0.502274751663208,184.89047145843506,0.6228309008810256
2025-10-20T13:33:48.444612,543,0.6860966411503878,yolov5s,49.4,11,0.15248465538024902,0.311481237411499,185.09039449691772,0.5686070648106661
2025-10-20T13:33:40.937213,521,0.6437137752771378,yolov5s,48.2,10,0.11299276351928711,0.6562888622283936,177.58299374580383,0.3346644073724747
2025-10-20T13:33:41.067927,522,0.6502191176017126,yolov5s,48.7,12,0.09552741050720215,0.4125957489013672,177.71370649337769,0.47655481265650856
2025-10-20T13:33:41.321288,523,0.9334479868412018,yolov5s,46.4,2,0.19616365432739258,0.31358933448791504,177.96706342697144,0.8147872454590268
2025-10-20T13:33:40.241000,517,0.7801340818405151,yolov5n,57.9,3,0.5051453113555908,1.4111886024475098,176.88677525520325,-0.542242300678122
2025-10-20T13:33:40.450494,518,0.7051677107810974,yolov5s,54.6,4,0.18344354629516602,1.2515325546264648,177.09626746177673,-0.2978968954072261
2025-10-20T13:33:40.638543,519,0.8335826992988586,yolov5s,45.2,1,0.13762950897216797,1.078495740890503,177.28432035446167,0.17659137450917756
2025-10-20T13:33:43.502366,528,0.7268252323071162,yolov5s,48.8,12,0.6190259456634521,0.6669864654541016,180.14814805984497,0.41183275149928195
2025-10-20T13:33:43.625155,529,0.7958210508028666,yolov5s,54.1,6,0.10596013069152832,0.4124448299407959,180.27093124389648,0.6222405897246466
2025-10-20T13:33:43.757838,530,0.8646604716777802,yolov5s,41.0,2,0.08684372901916504,0.21602582931518555,180.40360927581787,0.8002016776137881
